"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","5923","Successful login with valid credentials","","Sat Apr 18 23:09:19 UTC 2026","passed","Sat Apr 18 23:09:25 UTC 2026","","User Authentication - Hotel Reservation System","Successful login with valid credentials",""
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","4954","Verify Login page title","","Sat Apr 18 23:09:19 UTC 2026","passed","Sat Apr 18 23:09:24 UTC 2026","","User Authentication - Hotel Reservation System","Verify Login page title",""
