"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","11458","Verify Login page title","","Sat Apr 18 22:56:53 UTC 2026","passed","Sat Apr 18 22:57:04 UTC 2026","","User Authentication - Hotel Reservation System","Verify Login page title",""
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","12315","Successful login with valid credentials","","Sat Apr 18 22:56:53 UTC 2026","passed","Sat Apr 18 22:57:05 UTC 2026","","User Authentication - Hotel Reservation System","Successful login with valid credentials",""
