"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","20040","Successful login with valid credentials","","Sat Apr 18 22:35:20 UTC 2026","passed","Sat Apr 18 22:35:40 UTC 2026","","User Authentication - Hotel Reservation System","Successful login with valid credentials",""
"  As a registered user
  I want to log in to the Adactin Hotel Reservation System
  So that I can access the hotel booking dashboard","18993","Verify Login page title","","Sat Apr 18 22:35:20 UTC 2026","passed","Sat Apr 18 22:35:39 UTC 2026","","User Authentication - Hotel Reservation System","Verify Login page title",""
